"cty","Name","High_School_Graduation_Rate_rP_gP_p75"
"cty51735","Poquoson city, VA",0.9484
"cty48229","Hudspeth County, TX",0.9482
"cty30087","Rosebud County, MT",0.948
"cty47017","Carroll County, TN",0.948
"cty28105","Oktibbeha County, MS",0.948
"cty24021","Frederick County, MD",0.9479
"cty54055","Mercer County, WV",0.9479
"cty36015","Chemung County, NY",0.9479
"cty05019","Clark County, AR",0.9479
"cty36029","Erie County, NY",0.9478
"cty13279","Toombs County, GA",0.9477
"cty54109","Wyoming County, WV",0.9477
"cty28069","Kemper County, MS",0.9476
"cty29151","Osage County, MO",0.9475
"cty39121","Noble County, OH",0.9475
"cty34003","Bergen County, NJ",0.9474
"cty21059","Daviess County, KY",0.9474
"cty19195","Worth County, IA",0.9474
"cty17015","Carroll County, IL",0.9474
"cty15009","Maui County, HI",0.9473
"cty06063","Plumas County, CA",0.9473
"cty24041","Talbot County, MD",0.9472
"cty17035","Cumberland County, IL",0.9472
"cty36093","Schenectady County, NY",0.9471
"cty21235","Whitley County, KY",0.9471
"cty17167","Sangamon County, IL",0.9471
"cty17087","Johnson County, IL",0.9469
"cty05041","Desha County, AR",0.9468
"cty29195","Saline County, MO",0.9468
"cty19029","Cass County, IA",0.9467
"cty21021","Boyle County, KY",0.9467
"cty47131","Obion County, TN",0.9467
"cty05065","Izard County, AR",0.9467
"cty05135","Sharp County, AR",0.9466
"cty24013","Carroll County, MD",0.9465
"cty24039","Somerset County, MD",0.9465
"cty34023","Middlesex County, NJ",0.9464
"cty42059","Greene County, PA",0.9464
"cty13141","Hancock County, GA",0.9463
"cty17133","Monroe County, IL",0.9462
"cty36085","Richmond County, NY",0.9462
"cty19057","Des Moines County, IA",0.9462
"cty20157","Republic County, KS",0.9461
"cty46135","Yankton County, SD",0.9461
"cty40001","Adair County, OK",0.946
"cty48237","Jack County, TX",0.946
"cty45023","Chester County, SC",0.946
"cty46137","Ziebach County, SD",0.9459
"cty16069","Nez Perce County, ID",0.9459
"cty19197","Wright County, IA",0.9459
"cty15007","Kauai County, HI",0.9459
"cty29209","Stone County, MO",0.9459
"cty29197","Schuyler County, MO",0.9458
"cty29213","Taney County, MO",0.9458
"cty51097","King and Queen County, VA",0.9458
"cty51790","Staunton city, VA",0.9456
"cty17107","Logan County, IL",0.9456
"cty29093","Iron County, MO",0.9456
"cty36113","Warren County, NY",0.9455
"cty54081","Raleigh County, WV",0.9454
"cty19025","Calhoun County, IA",0.9454
"cty36001","Albany County, NY",0.9453
"cty05013","Calhoun County, AR",0.9453
"cty16041","Franklin County, ID",0.9453
"cty28051","Holmes County, MS",0.9453
"cty37083","Halifax County, NC",0.9452
"cty17083","Jersey County, IL",0.9452
"cty20033","Comanche County, KS",0.9452
"cty18007","Benton County, IN",0.9452
"cty08025","Crowley County, CO",0.9452
"cty42063","Indiana County, PA",0.945
"cty40105","Nowata County, OK",0.9449
"cty05027","Columbia County, AR",0.9449
"cty31063","Frontier County, NE",0.9448
"cty47033","Crockett County, TN",0.9448
"cty55073","Marathon County, WI",0.9447
"cty01105","Perry County, AL",0.9447
"cty17001","Adams County, IL",0.9447
"cty17023","Clark County, IL",0.9447
"cty27165","Watonwan County, MN",0.9447
"cty18033","DeKalb County, IN",0.9447
"cty02198","Prince of Wales-Hyder Census Area, AK",0.9446
"cty42003","Allegheny County, PA",0.9446
"cty17193","White County, IL",0.9446
"cty12001","Alachua County, FL",0.9445
"cty20021","Cherokee County, KS",0.9444
"cty21159","Martin County, KY",0.9444
"cty08093","Park County, CO",0.9443
"cty51001","Accomack County, VA",0.9443
"cty29069","Dunklin County, MO",0.9443
"cty48503","Young County, TX",0.9443
"cty34039","Union County, NJ",0.9442
"cty26003","Alger County, MI",0.9442
"cty54107","Wood County, WV",0.9441
"cty39087","Lawrence County, OH",0.9441
"cty38077","Richland County, ND",0.9441
"cty19037","Chickasaw County, IA",0.9441
"cty13131","Grady County, GA",0.9441
"cty16019","Bonneville County, ID",0.944
"cty21147","McCreary County, KY",0.944
"cty38031","Foster County, ND",0.944
"cty54101","Webster County, WV",0.9439
"cty37143","Perquimans County, NC",0.9439
"cty17019","Champaign County, IL",0.9438
"cty21221","Trigg County, KY",0.9438
"cty28149","Warren County, MS",0.9438
"cty38015","Burleigh County, ND",0.9436
"cty13019","Berrien County, GA",0.9436
"cty13173","Lanier County, GA",0.9436
"cty46115","Spink County, SD",0.9434
"cty13161","Jeff Davis County, GA",0.9434
"cty48177","Gonzales County, TX",0.9434
"cty17171","Scott County, IL",0.9434
"cty51640","Galax city, VA",0.9434
"cty22061","Lincoln Parish, LA",0.9433
"cty55003","Ashland County, WI",0.9432
"cty42061","Huntingdon County, PA",0.9432
"cty05071","Johnson County, AR",0.9432
"cty13053","Chattahoochee County, GA",0.9432
"cty12121","Suwannee County, FL",0.9431
"cty51143","Pittsylvania County, VA",0.9431
"cty27071","Koochiching County, MN",0.9431
"cty20041","Dickinson County, KS",0.9431
"cty36079","Putnam County, NY",0.943
"cty05031","Craighead County, AR",0.943
"cty20161","Riley County, KS",0.9429
"cty42107","Schuylkill County, PA",0.9429
"cty21019","Boyd County, KY",0.9428
"cty05009","Boone County, AR",0.9427
"cty22009","Avoyelles Parish, LA",0.9426
"cty42067","Juniata County, PA",0.9426
"cty39083","Knox County, OH",0.9426
"cty21039","Carlisle County, KY",0.9426
"cty24025","Harford County, MD",0.9424
"cty54005","Boone County, WV",0.9424
"cty19183","Washington County, IA",0.9424
"cty20193","Thomas County, KS",0.9424
"cty45085","Sumter County, SC",0.9423
"cty42077","Lehigh County, PA",0.9423
"cty36103","Suffolk County, NY",0.9422
"cty09005","Litchfield County, CT",0.9422
"cty27083","Lyon County, MN",0.9421
"cty51175","Southampton County, VA",0.9421
"cty16065","Madison County, ID",0.942
"cty20001","Allen County, KS",0.942
"cty26063","Huron County, MI",0.942
"cty41037","Lake County, OR",0.942
"cty51003","Albemarle County, VA",0.942
"cty51031","Campbell County, VA",0.9419
"cty12059","Holmes County, FL",0.9419
"cty19051","Davis County, IA",0.9418
"cty45001","Abbeville County, SC",0.9418
"cty51067","Franklin County, VA",0.9418
"cty46057","Hamlin County, SD",0.9418
"cty37125","Moore County, NC",0.9418
"cty13201","Miller County, GA",0.9417
"cty54057","Mineral County, WV",0.9417
"cty40061","Haskell County, OK",0.9416
"cty47139","Polk County, TN",0.9416
"cty31179","Wayne County, NE",0.9416
"cty38063","Nelson County, ND",0.9416
"cty28067","Jones County, MS",0.9415
"cty36063","Niagara County, NY",0.9415
"cty01031","Coffee County, AL",0.9415
"cty36119","Westchester County, NY",0.9415
"cty39119","Muskingum County, OH",0.9415
"cty01051","Elmore County, AL",0.9415
"cty19019","Buchanan County, IA",0.9415
"cty38035","Grand Forks County, ND",0.9414
"cty04003","Cochise County, AZ",0.9413
"cty05141","Van Buren County, AR",0.9413
"cty20139","Osage County, KS",0.9413
"cty42045","Delaware County, PA",0.9412
"cty36003","Allegany County, NY",0.9412
"cty39065","Hardin County, OH",0.9412
"cty51169","Scott County, VA",0.9411
"cty48341","Moore County, TX",0.9411
"cty19015","Boone County, IA",0.9411
"cty46111","Sanborn County, SD",0.9411
"cty21167","Mercer County, KY",0.9411
"cty38003","Barnes County, ND",0.9411
"cty50011","Franklin County, VT",0.941
"cty05023","Cleburne County, AR",0.941
"cty05055","Greene County, AR",0.941
"cty06113","Yolo County, CA",0.9409
"cty17021","Christian County, IL",0.9409
"cty20085","Jackson County, KS",0.9408
"cty05101","Newton County, AR",0.9408
"cty16031","Cassia County, ID",0.9408
"cty36031","Essex County, NY",0.9408
"cty51199","York County, VA",0.9407
"cty38069","Pierce County, ND",0.9407
"cty36043","Herkimer County, NY",0.9407
"cty55131","Washington County, WI",0.9407
"cty20051","Ellis County, KS",0.9406
"cty36107","Tioga County, NY",0.9406
"cty17187","Warren County, IL",0.9406
"cty28007","Attala County, MS",0.9405
"cty16071","Oneida County, ID",0.9405
"cty20103","Leavenworth County, KS",0.9404
"cty23025","Somerset County, ME",0.9404
"cty45029","Colleton County, SC",0.9404
"cty40013","Bryan County, OK",0.9403
"cty42007","Beaver County, PA",0.9403
"cty19169","Story County, IA",0.9403
"cty20127","Morris County, KS",0.9403
"cty06041","Marin County, CA",0.9402
"cty34027","Morris County, NJ",0.9402
"cty05067","Jackson County, AR",0.9402
"cty44003","Kent County, RI",0.9402
"cty48223","Hopkins County, TX",0.9402
"cty37197","Yadkin County, NC",0.9401
"cty36069","Ontario County, NY",0.9401
"cty49013","Duchesne County, UT",0.94
"cty40091","McIntosh County, OK",0.94
"cty51125","Nelson County, VA",0.94
"cty01081","Lee County, AL",0.94
"cty20049","Elk County, KS",0.94
"cty39099","Mahoning County, OH",0.94
"cty12043","Glades County, FL",0.9399
"cty46013","Brown County, SD",0.9399
"cty29001","Adair County, MO",0.9399
"cty44001","Bristol County, RI",0.9399
"cty34025","Monmouth County, NJ",0.9398
"cty27125","Red Lake County, MN",0.9398
"cty50003","Bennington County, VT",0.9398
"cty20117","Marshall County, KS",0.9398
"cty29173","Ralls County, MO",0.9398
"cty42073","Lawrence County, PA",0.9398
"cty20177","Shawnee County, KS",0.9397
"cty51650","Hampton city, VA",0.9397
