"cty","Name","College_Graduation_Rate_rP_gP_p50"
"cty27089","Marshall County, MN",0.3348
"cty40069","Johnston County, OK",0.3347
"cty19045","Clinton County, IA",0.3346
"cty51660","Harrisonburg city, VA",0.3344
"cty34005","Burlington County, NJ",0.3343
"cty37129","New Hanover County, NC",0.3337
"cty38013","Burke County, ND",0.3337
"cty25013","Hampden County, MA",0.3334
"cty38069","Pierce County, ND",0.3333
"cty30013","Cascade County, MT",0.3332
"cty19033","Cerro Gordo County, IA",0.333
"cty05043","Drew County, AR",0.3329
"cty33001","Belknap County, NH",0.3328
"cty41007","Clatsop County, OR",0.3326
"cty19173","Taylor County, IA",0.3326
"cty49021","Iron County, UT",0.3325
"cty17031","Cook County, IL",0.3325
"cty05041","Desha County, AR",0.3325
"cty22033","East Baton Rouge Parish, LA",0.3324
"cty19043","Clayton County, IA",0.3324
"cty45005","Allendale County, SC",0.3323
"cty46047","Fall River County, SD",0.3321
"cty48143","Erath County, TX",0.3321
"cty54081","Raleigh County, WV",0.3319
"cty38079","Rolette County, ND",0.3318
"cty55037","Florence County, WI",0.3317
"cty19077","Guthrie County, IA",0.3317
"cty21067","Fayette County, KY",0.3317
"cty20169","Saline County, KS",0.3316
"cty27125","Red Lake County, MN",0.3316
"cty01091","Marengo County, AL",0.3316
"cty19135","Monroe County, IA",0.3314
"cty41025","Harney County, OR",0.3314
"cty29051","Cole County, MO",0.3313
"cty13121","Fulton County, GA",0.3312
"cty29045","Clark County, MO",0.3311
"cty12011","Broward County, FL",0.331
"cty29153","Ozark County, MO",0.331
"cty28083","Leflore County, MS",0.3309
"cty21069","Fleming County, KY",0.3308
"cty19001","Adair County, IA",0.3308
"cty29079","Grundy County, MO",0.3307
"cty55029","Door County, WI",0.3305
"cty30089","Sanders County, MT",0.3302
"cty29135","Moniteau County, MO",0.3302
"cty20113","McPherson County, KS",0.3302
"cty29117","Livingston County, MO",0.33
"cty20045","Douglas County, KS",0.3299
"cty31049","Deuel County, NE",0.3299
"cty09013","Tolland County, CT",0.3299
"cty40029","Coal County, OK",0.3298
"cty39035","Cuyahoga County, OH",0.3298
"cty34029","Ocean County, NJ",0.3298
"cty54029","Hancock County, WV",0.3298
"cty21109","Jackson County, KY",0.3296
"cty40075","Kiowa County, OK",0.3294
"cty12085","Martin County, FL",0.3294
"cty38103","Wells County, ND",0.3289
"cty23015","Lincoln County, ME",0.3289
"cty38067","Pembina County, ND",0.3288
"cty42025","Carbon County, PA",0.3288
"cty08005","Arapahoe County, CO",0.3287
"cty23031","York County, ME",0.3286
"cty27167","Wilkin County, MN",0.3283
"cty49037","San Juan County, UT",0.3282
"cty08099","Prowers County, CO",0.3282
"cty31087","Hitchcock County, NE",0.3282
"cty36083","Rensselaer County, NY",0.3281
"cty44003","Kent County, RI",0.3281
"cty51067","Franklin County, VA",0.3281
"cty35033","Mora County, NM",0.328
"cty17077","Jackson County, IL",0.3279
"cty31125","Nance County, NE",0.3279
"cty19029","Cass County, IA",0.3278
"cty39041","Delaware County, OH",0.3277
"cty13205","Mitchell County, GA",0.3274
"cty42051","Fayette County, PA",0.3274
"cty46013","Brown County, SD",0.3273
"cty20181","Sherman County, KS",0.3273
"cty21033","Caldwell County, KY",0.3272
"cty39085","Lake County, OH",0.3272
"cty31175","Valley County, NE",0.327
"cty24047","Worcester County, MD",0.3268
"cty42007","Beaver County, PA",0.3267
