"cty","Name","Household_Income_rP_gP_p50"
"cty48239","Jackson County, TX",49429
"cty16035","Clearwater County, ID",49428
"cty40153","Woodward County, OK",49422
"cty29005","Atchison County, MO",49401
"cty49041","Sevier County, UT",49391
"cty19129","Mills County, IA",49390
"cty17065","Hamilton County, IL",49390
"cty17131","Mercer County, IL",49387
"cty55141","Wood County, WI",49380
"cty55047","Green Lake County, WI",49380
"cty53001","Adams County, WA",49380
"cty08051","Gunnison County, CO",49368
"cty16051","Jefferson County, ID",49366
"cty19051","Davis County, IA",49364
"cty17185","Wabash County, IL",49352
"cty20067","Grant County, KS",49347
"cty53075","Whitman County, WA",49339
"cty42021","Cambria County, PA",49320
"cty27131","Rice County, MN",49311
"cty55073","Marathon County, WI",49308
"cty30103","Treasure County, MT",49303
"cty08073","Lincoln County, CO",49290
"cty55033","Dunn County, WI",49279
"cty48415","Scurry County, TX",49276
"cty46047","Fall River County, SD",49257
"cty26063","Huron County, MI",49239
"cty29045","Clark County, MO",49238
"cty31173","Thurston County, NE",49225
"cty08117","Summit County, CO",49222
"cty48275","Knox County, TX",49221
"cty20019","Chautauqua County, KS",49219
"cty40099","Murray County, OK",49213
"cty26061","Houghton County, MI",49164
"cty48417","Shackelford County, TX",49145
"cty46027","Clay County, SD",49125
"cty49039","Sanpete County, UT",49121
"cty48389","Reeves County, TX",49121
"cty22057","Lafourche Parish, LA",49114
"cty27061","Itasca County, MN",49096
"cty27109","Olmsted County, MN",49095
"cty27087","Mahnomen County, MN",49081
"cty20151","Pratt County, KS",49075
"cty22007","Assumption Parish, LA",49059
"cty48171","Gillespie County, TX",49059
"cty49023","Juab County, UT",49051
"cty19053","Decatur County, IA",49049
"cty42059","Greene County, PA",49048
"cty26053","Gogebic County, MI",49047
"cty48011","Armstrong County, TX",49040
"cty24031","Montgomery County, MD",49029
"cty40069","Johnston County, OK",49026
"cty20105","Lincoln County, KS",49024
"cty55023","Crawford County, WI",49020
"cty20043","Doniphan County, KS",49012
"cty18147","Spencer County, IN",48997
"cty19033","Cerro Gordo County, IA",48993
"cty55045","Green County, WI",48970
"cty48233","Hutchinson County, TX",48965
"cty27065","Kanabec County, MN",48943
"cty49005","Cache County, UT",48932
"cty27095","Mille Lacs County, MN",48928
"cty48047","Brooks County, TX",48913
"cty27115","Pine County, MN",48893
"cty16023","Butte County, ID",48863
"cty19087","Henry County, IA",48861
"cty42105","Potter County, PA",48855
"cty17059","Gallatin County, IL",48845
"cty19133","Monona County, IA",48839
"cty42129","Westmoreland County, PA",48834
"cty48131","Duval County, TX",48826
"cty55095","Polk County, WI",48808
"cty48051","Burleson County, TX",48806
"cty54073","Pleasants County, WV",48774
"cty48017","Bailey County, TX",48772
"cty31025","Cass County, NE",48770
"cty42125","Washington County, PA",48761
"cty39011","Auglaize County, OH",48759
"cty48151","Fisher County, TX",48756
"cty55039","Fond du Lac County, WI",48740
"cty19007","Appanoose County, IA",48737
"cty27025","Chisago County, MN",48735
"cty29063","DeKalb County, MO",48734
"cty20115","Marion County, KS",48727
"cty30027","Fergus County, MT",48715
"cty29103","Knox County, MO",48700
"cty36049","Lewis County, NY",48693
"cty55071","Manitowoc County, WI",48689
"cty54077","Preston County, WV",48674
"cty48193","Hamilton County, TX",48664
"cty48399","Runnels County, TX",48655
"cty48153","Floyd County, TX",48653
"cty08033","Dolores County, CO",48635
"cty22085","Sabine Parish, LA",48633
"cty42111","Somerset County, PA",48620
"cty30001","Beaverhead County, MT",48605
"cty42091","Montgomery County, PA",48595
"cty20129","Morton County, KS",48592
"cty20205","Wilson County, KS",48583
"cty17171","Scott County, IL",48574
"cty55133","Waukesha County, WI",48566
"cty27099","Mower County, MN",48566
"cty55087","Outagamie County, WI",48559
"cty39075","Holmes County, OH",48533
"cty22039","Evangeline Parish, LA",48518
"cty27141","Sherburne County, MN",48495
"cty36087","Rockland County, NY",48480
"cty17173","Shelby County, IL",48477
"cty51027","Buchanan County, VA",48477
"cty17157","Randolph County, IL",48475
"cty18073","Jasper County, IN",48463
"cty55097","Portage County, WI",48463
"cty29227","Worth County, MO",48450
"cty29186","Ste. Genevieve County, MO",48433
"cty48287","Lee County, TX",48427
"cty29205","Shelby County, MO",48410
"cty48365","Panola County, TX",48406
"cty31157","Scotts Bluff County, NE",48404
"cty42067","Juniata County, PA",48379
"cty16067","Minidoka County, ID",48348
"cty16063","Lincoln County, ID",48334
"cty42119","Union County, PA",48330
"cty26141","Presque Isle County, MI",48321
"cty27057","Hubbard County, MN",48293
"cty17041","Douglas County, IL",48293
"cty41021","Gilliam County, OR",48285
"cty17023","Clark County, IL",48268
"cty41037","Lake County, OR",48261
"cty19103","Johnson County, IA",48257
"cty16033","Clark County, ID",48250
"cty17053","Ford County, IL",48233
"cty40063","Hughes County, OK",48231
"cty49049","Utah County, UT",48224
"cty48219","Hockley County, TX",48215
"cty39013","Belmont County, OH",48192
"cty42131","Wyoming County, PA",48191
"cty48089","Colorado County, TX",48191
"cty42065","Jefferson County, PA",48173
"cty31047","Dawson County, NE",48166
"cty42019","Butler County, PA",48157
"cty48133","Eastland County, TX",48149
"cty34037","Sussex County, NJ",48130
