"cty","Name","Household_Income_rP_gP_pall"
"cty27111","Otter Tail County, MN",54636
"cty48235","Irion County, TX",54626
"cty48357","Ochiltree County, TX",54620
"cty20113","McPherson County, KS",54616
"cty39041","Delaware County, OH",54596
"cty20141","Osborne County, KS",54592
"cty55009","Brown County, WI",54574
"cty36001","Albany County, NY",54559
"cty17097","Lake County, IL",54537
"cty55141","Wood County, WI",54509
"cty27009","Benton County, MN",54493
"cty31045","Dawes County, NE",54481
"cty16037","Custer County, ID",54463
"cty46135","Yankton County, SD",54455
"cty19073","Greene County, IA",54439
"cty48149","Fayette County, TX",54430
"cty31119","Madison County, NE",54419
"cty20007","Barber County, KS",54419
"cty55049","Iowa County, WI",54416
"cty31017","Brown County, NE",54406
"cty55011","Buffalo County, WI",54375
"cty31097","Johnson County, NE",54351
"cty36091","Saratoga County, NY",54344
"cty20201","Washington County, KS",54339
"cty13113","Fayette County, GA",54333
"cty20069","Gray County, KS",54333
"cty31015","Boyd County, NE",54300
"cty16065","Madison County, ID",54289
"cty17093","Kendall County, IL",54288
"cty48413","Schleicher County, TX",54271
"cty06081","San Mateo County, CA",54257
"cty27135","Roseau County, MN",54226
"cty21185","Oldham County, KY",54118
"cty27013","Blue Earth County, MN",54069
"cty27043","Faribault County, MN",54047
"cty20153","Rawlins County, KS",54044
"cty27003","Anoka County, MN",54038
"cty08125","Yuma County, CO",54035
"cty29183","St. Charles County, MO",54016
"cty46029","Codington County, SD",54015
"cty31019","Buffalo County, NE",53995
"cty16007","Bear Lake County, ID",53962
"cty20147","Phillips County, KS",53959
"cty29147","Nodaway County, MO",53950
"cty17085","Jo Daviess County, IL",53946
"cty19121","Madison County, IA",53932
"cty31093","Howard County, NE",53926
"cty31125","Nance County, NE",53926
"cty31155","Saunders County, NE",53920
"cty55073","Marathon County, WI",53912
"cty55119","Taylor County, WI",53885
"cty31067","Gage County, NE",53834
"cty27053","Hennepin County, MN",53826
"cty53075","Whitman County, WA",53823
"cty31049","Deuel County, NE",53812
"cty31001","Adams County, NE",53811
"cty55025","Dane County, WI",53800
"cty40093","Major County, OK",53773
"cty48071","Chambers County, TX",53734
"cty46107","Potter County, SD",53729
"cty55071","Manitowoc County, WI",53729
"cty46037","Day County, SD",53728
"cty48103","Crane County, TX",53728
"cty30097","Sweet Grass County, MT",53722
"cty33015","Rockingham County, NH",53713
"cty49013","Duchesne County, UT",53643
"cty42041","Cumberland County, PA",53643
"cty09005","Litchfield County, CT",53636
"cty49051","Wasatch County, UT",53601
"cty42129","Westmoreland County, PA",53594
"cty48425","Somervell County, TX",53585
"cty42125","Washington County, PA",53577
"cty24021","Frederick County, MD",53498
"cty27097","Morrison County, MN",53463
"cty42019","Butler County, PA",53451
"cty40073","Kingfisher County, OK",53440
"cty38071","Ramsey County, ND",53439
"cty08014","Broomfield County, CO",53438
"cty31091","Hooker County, NE",53436
"cty25009","Essex County, MA",53426
"cty29165","Platte County, MO",53376
"cty49001","Beaver County, UT",53343
"cty31053","Dodge County, NE",53320
"cty39011","Auglaize County, OH",53309
"cty08117","Summit County, CO",53307
"cty19085","Harrison County, IA",53304
"cty31061","Franklin County, NE",53257
"cty40045","Ellis County, OK",53157
"cty30073","Pondera County, MT",53146
"cty46091","Marshall County, SD",53123
"cty20081","Haskell County, KS",53088
"cty08019","Clear Creek County, CO",53084
"cty20149","Pottawatomie County, KS",53064
"cty41021","Gilliam County, OR",53063
"cty19079","Hamilton County, IA",53057
"cty18007","Benton County, IN",53040
"cty26139","Ottawa County, MI",53031
"cty27025","Chisago County, MN",53024
"cty31057","Dundy County, NE",53022
"cty19063","Emmet County, IA",53008
"cty31131","Otoe County, NE",52992
"cty48397","Rockwall County, TX",52943
"cty55027","Dodge County, WI",52943
"cty18063","Hendricks County, IN",52942
"cty33011","Hillsborough County, NH",52940
"cty17067","Hancock County, IL",52909
"cty48211","Hemphill County, TX",52907
"cty34041","Warren County, NJ",52901
"cty17079","Jasper County, IL",52890
"cty55047","Green Lake County, WI",52880
"cty19069","Franklin County, IA",52875
"cty08057","Jackson County, CO",52870
"cty27159","Wadena County, MN",52862
"cty17131","Mercer County, IL",52857
"cty29151","Osage County, MO",52854
"cty31153","Sarpy County, NE",52852
"cty30055","McCone County, MT",52839
"cty55121","Trempealeau County, WI",52834
"cty18147","Spencer County, IN",52825
"cty27153","Todd County, MN",52814
"cty19123","Mahaska County, IA",52813
"cty36027","Dutchess County, NY",52811
"cty31105","Kimball County, NE",52810
"cty08017","Cheyenne County, CO",52803
"cty26037","Clinton County, MI",52788
"cty48045","Briscoe County, TX",52786
"cty18073","Jasper County, IN",52780
"cty55097","Portage County, WI",52774
"cty19113","Linn County, IA",52762
"cty55117","Sheboygan County, WI",52742
"cty25027","Worcester County, MA",52733
"cty55063","La Crosse County, WI",52720
"cty55045","Green County, WI",52715
"cty20065","Graham County, KS",52677
"cty49049","Utah County, UT",52676
"cty49005","Cache County, UT",52644
"cty46081","Lawrence County, SD",52644
"cty46039","Deuel County, SD",52637
"cty42113","Sullivan County, PA",52634
"cty18173","Warrick County, IN",52632
"cty20029","Cloud County, KS",52627
"cty51199","York County, VA",52625
"cty48421","Sherman County, TX",52621
"cty19029","Cass County, IA",52610
"cty42063","Indiana County, PA",52603
"cty56025","Natrona County, WY",52595
"cty20017","Chase County, KS",52594
"cty42045","Delaware County, PA",52587
"cty31167","Stanton County, NE",52584
"cty48065","Carson County, TX",52583
"cty16029","Caribou County, ID",52575
"cty31103","Keya Paha County, NE",52558
"cty24009","Calvert County, MD",52553
"cty40043","Dewey County, OK",52527
"cty29186","Ste. Genevieve County, MO",52525
"cty51085","Hanover County, VA",52514
"cty06085","Santa Clara County, CA",52512
"cty29075","Gentry County, MO",52506
"cty48259","Kendall County, TX",52475
"cty16041","Franklin County, ID",52472
"cty18011","Boone County, IN",52472
"cty31025","Cass County, NE",52471
"cty30071","Phillips County, MT",52458
"cty48329","Midland County, TX",52443
"cty17155","Putnam County, IL",52443
"cty19107","Keokuk County, IA",52434
"cty48475","Ward County, TX",52433
"cty19099","Jasper County, IA",52432
"cty42047","Elk County, PA",52399
"cty19145","Page County, IA",52397
"cty55033","Dunn County, WI",52397
"cty46099","Minnehaha County, SD",52367
"cty49003","Box Elder County, UT",52359
"cty26093","Livingston County, MI",52353
"cty17073","Henry County, IL",52331
"cty53037","Kittitas County, WA",52330
"cty51683","Manassas city, VA",52328
"cty44009","Washington County, RI",52321
"cty56045","Weston County, WY",52317
"cty08091","Ouray County, CO",52309
"cty18129","Posey County, IN",52306
"cty16071","Oneida County, ID",52279
"cty46123","Tripp County, SD",52276
"cty40007","Beaver County, OK",52269
"cty27165","Watonwan County, MN",52268
"cty30057","Madison County, MT",52256
"cty56033","Sheridan County, WY",52241
"cty19197","Wright County, IA",52239
"cty27029","Clearwater County, MN",52237
"cty46101","Moody County, SD",52237
"cty08063","Kit Carson County, CO",52234
"cty46005","Beadle County, SD",52232
"cty49015","Emery County, UT",52214
"cty27123","Ramsey County, MN",52198
"cty41069","Wheeler County, OR",52198
"cty42027","Centre County, PA",52192
"cty17113","McLean County, IL",52188
"cty50007","Chittenden County, VT",52187
"cty40059","Harper County, OK",52160
"cty17197","Will County, IL",52155
"cty17147","Piatt County, IL",52155
"cty08059","Jefferson County, CO",52142
"cty19033","Cerro Gordo County, IA",52140
"cty20031","Coffey County, KS",52109
"cty32017","Lincoln County, NV",52070
"cty55055","Jefferson County, WI",52068
"cty19117","Lucas County, IA",52061
"cty48095","Concho County, TX",52029
"cty46129","Walworth County, SD",52022
"cty55029","Door County, WI",51994
"cty19129","Mills County, IA",51981
"cty42077","Lehigh County, PA",51977
"cty55139","Winnebago County, WI",51949
"cty20189","Stevens County, KS",51942
"cty48195","Hansford County, TX",51938
"cty19003","Adams County, IA",51915
"cty17011","Bureau County, IL",51905
"cty20089","Jewell County, KS",51902
"cty26125","Oakland County, MI",51894
"cty48435","Sutton County, TX",51891
"cty55099","Price County, WI",51891
"cty20067","Grant County, KS",51890
"cty46117","Stanley County, SD",51881
"cty20075","Hamilton County, KS",51855
"cty48501","Yoakum County, TX",51851
"cty42095","Northampton County, PA",51831
"cty55017","Chippewa County, WI",51827
"cty53023","Garfield County, WA",51826
"cty19195","Worth County, IA",51817
"cty48359","Oldham County, TX",51796
"cty34039","Union County, NJ",51773
"cty31145","Red Willow County, NE",51705
"cty08005","Arapahoe County, CO",51704
"cty46027","Clay County, SD",51702
"cty24025","Harford County, MD",51685
"cty09003","Hartford County, CT",51681
"cty20151","Pratt County, KS",51650
"cty08111","San Juan County, CO",51648
"cty31021","Burt County, NE",51647
"cty48381","Randall County, TX",51630
"cty20095","Kingman County, KS",51626
"cty17157","Randolph County, IL",51616
"cty19087","Henry County, IA",51596
"cty22023","Cameron Parish, LA",51570
"cty18127","Porter County, IN",51569
"cty27099","Mower County, MN",51569
"cty20085","Jackson County, KS",51553
"cty55019","Clark County, WI",51547
"cty39173","Wood County, OH",51544
"cty42031","Clarion County, PA",51542
"cty31147","Richardson County, NE",51538
"cty27059","Isanti County, MN",51529
"cty34005","Burlington County, NJ",51524
"cty27061","Itasca County, MN",51519
"cty25015","Hampshire County, MA",51513
"cty34015","Gloucester County, NJ",51496
"cty01117","Shelby County, AL",51487
"cty39103","Medina County, OH",51474
"cty51179","Stafford County, VA",51468
"cty27047","Freeborn County, MN",51464
"cty19153","Polk County, IA",51447
"cty17105","Livingston County, IL",51433
"cty17037","DeKalb County, IL",51429
"cty27137","St. Louis County, MN",51427
"cty27001","Aitkin County, MN",51420
"cty36093","Schenectady County, NY",51419
"cty55095","Polk County, WI",51402
"cty42119","Union County, PA",51382
"cty56029","Park County, WY",51357
"cty27005","Becker County, MN",51353
"cty19183","Washington County, IA",51346
"cty44003","Kent County, RI",51337
"cty26061","Houghton County, MI",51333
"cty08013","Boulder County, CO",51328
"cty42093","Montour County, PA",51324
"cty31109","Lancaster County, NE",51316
"cty19045","Clinton County, IA",51313
"cty31069","Garden County, NE",51298
"cty19137","Montgomery County, IA",51274
"cty31037","Colfax County, NE",51246
"cty56015","Goshen County, WY",51235
"cty48233","Hutchinson County, TX",51210
"cty19187","Webster County, IA",51207
"cty31101","Keith County, NE",51126
"cty51003","Albemarle County, VA",51116
"cty53033","King County, WA",51105
"cty16057","Latah County, ID",51097
"cty18001","Adams County, IN",51088
"cty06061","Placer County, CA",51087
"cty30017","Custer County, MT",51075
"cty48495","Winkler County, TX",51071
"cty30105","Valley County, MT",51062
"cty20167","Russell County, KS",51048
"cty19159","Ringgold County, IA",51044
"cty56027","Niobrara County, WY",51008
"cty06013","Contra Costa County, CA",51006
"cty34029","Ocean County, NJ",51006
"cty36029","Erie County, NY",50993
"cty55005","Barron County, WI",50992
"cty24003","Anne Arundel County, MD",50988
"cty27077","Lake of the Woods County, MN",50964
"cty08051","Gunnison County, CO",50951
"cty55021","Columbia County, WI",50946
"cty17103","Lee County, IL",50940
"cty08097","Pitkin County, CO",50933
"cty51013","Arlington County, VA",50929
"cty30039","Granite County, MT",50929
"cty48483","Wheeler County, TX",50920
"cty17123","Marshall County, IL",50905
"cty08069","Larimer County, CO",50899
"cty55069","Lincoln County, WI",50893
"cty55035","Eau Claire County, WI",50891
"cty19171","Tama County, IA",50887
"cty20157","Republic County, KS",50887
"cty39069","Henry County, OH",50885
"cty51061","Fauquier County, VA",50879
"cty18059","Hancock County, IN",50867
"cty17185","Wabash County, IL",50841
"cty42071","Lancaster County, PA",50835
"cty30065","Musselshell County, MT",50835
"cty27017","Carlton County, MN",50817
"cty19163","Scott County, IA",50817
"cty36083","Rensselaer County, NY",50816
"cty19013","Black Hawk County, IA",50788
"cty20143","Ottawa County, KS",50773
"cty30009","Carbon County, MT",50769
"cty20137","Norton County, KS",50760
"cty26063","Huron County, MI",50726
"cty42011","Berks County, PA",50723
"cty29157","Perry County, MO",50718
"cty35011","De Baca County, NM",50717
"cty39165","Warren County, OH",50713
"cty31111","Lincoln County, NE",50698
"cty06017","El Dorado County, CA",50689
"cty19001","Adair County, IA",50686
"cty42003","Allegheny County, PA",50660
"cty49023","Juab County, UT",50655
"cty40151","Woods County, OK",50653
"cty25005","Bristol County, MA",50636
"cty08039","Elbert County, CO",50635
"cty30101","Toole County, MT",50625
"cty46023","Charles Mix County, SD",50622
"cty56003","Big Horn County, WY",50615
"cty19071","Fremont County, IA",50612
"cty51153","Prince William County, VA",50602
"cty48157","Fort Bend County, TX",50599
"cty17173","Shelby County, IL",50599
"cty18137","Ripley County, IN",50592
"cty46033","Custer County, SD",50587
"cty22089","St. Charles Parish, LA",50585
"cty30015","Chouteau County, MT",50575
"cty20181","Sherman County, KS",50558
"cty27075","Lake County, MN",50550
"cty24037","St. Mary's County, MD",50546
"cty32007","Elko County, NV",50538
"cty49041","Sevier County, UT",50535
"cty55135","Waupaca County, WI",50515
"cty20163","Rooks County, KS",50514
"cty20145","Pawnee County, KS",50498
"cty40025","Cimarron County, OK",50496
"cty51678","Lexington city, VA",50491
